id,antimicrobial
amino-g0001_aac2-Ia,Gentamicin
amino-g0002_aac2-Ib,Gentamicin
amino-g0003_aac2-Ic,Gentamicin
amino-g0005_aac3_pEK516,Gentamicin
amino-g0006_aac3-Ia_a,Gentamicin
amino-g0007_aac3-Ia_b,Gentamicin
amino-g0008_aac3-Ib,Gentamicin
amino-g0009_aac3-Ib_aac6-Ib,Gentamicin
amino-g0010_aac3-Ic,Gentamicin
amino-g0011_aac3-Id,Gentamicin
amino-g0014_aac3-IIa,Gentamicin
amino-g0015_aac3-IIb,Gentamicin
amino-g0016_aac3-IIc,Gentamicin
amino-g0017_aac3-IIIa,Gentamicin
amino-g0018_aac3-IIIb,
amino-g0019_aac3-IIIc,
amino-g0020_aac3-IVa,"Apramycin, Gentamicin, Dibekacin, Netilmicin, Sisomicin, Tobramycin"
amino-g0021_aac3-IXa,
amino-g0022_aac3-VIa_a,Gentamicin
amino-g0024_aac3-VIa_c,Gentamicin
amino-g0025_aac3-VIIa,
amino-g0026_aac3-VIIIa,
amino-g0027_aac3-Xa,
amino-g0028_aac6-29a,Gentamicin
amino-g0029_aac6-29b,Gentamicin
amino-g0030_aac6-30_aac6-Ib,
amino-g0031_aac6-31,Gentamicin
amino-g0032_aac6-32,Gentamicin
amino-g0033_aac6-33,Gentamicin
amino-g0034_aac6-aph2,Gentamicin
amino-g0035_aac6-I30,Gentamicin
amino-g0036_aac6-Ia_a,Gentamicin
amino-g0039_aac6-Iaa,Gentamicin
amino-g0040_aac6-Iad,Gentamicin
amino-g0041_aac6-Iae,Gentamicin
amino-g0042_aac6-Iaf,Gentamicin
amino-g0043_aac6-Iai,Gentamicin
amino-g0044_aac6-Ib_a,Gentamicin
amino-g0045_aac6-Ib_a,Gentamicin
amino-g0047_aac6-Ib_c,Gentamicin
amino-g0049_aac6-Ib11,Gentamicin
amino-g0050_aac6-Ib3,Gentamicin
amino-g0051_aac6-Ib4,Gentamicin
amino-g0053_aac6-Ib8,Gentamicin
amino-g0054_aac6-Ib9,Gentamicin
amino-g0055_aac6-Ib-Hangzhou,Gentamicin
amino-g0056_aac6-Ib-Suzhou,Gentamicin
amino-g0057_aac6-Ic,Gentamicin
amino-g0059_aac6-If,Gentamicin
amino-g0060_aac6-Ig,Gentamicin
amino-g0061_aac6-Ih,Gentamicin
amino-g0062_aac6-Ii,Gentamicin
amino-g0063_aac6-IIa,Gentamicin
amino-g0064_aac6-IIb,Gentamicin
amino-g0065_aac6-IIc,Gentamicin
amino-g0066_aac6-Iid,"Amikacin, Tobramycin"
amino-g0067_aac6-Iih,Gentamicin
amino-g0068_aac6-Ij,Gentamicin
amino-g0069_aac6-Ik,Gentamicin
amino-g0070_aac6-Il,
amino-g0071_aac6-Il,
amino-g0072_aac6-Im,
amino-g0073_aac6-Iq,Gentamicin
amino-g0074_aac6-Ir,Gentamicin
amino-g0075_aac6-Is,Gentamicin
amino-g0076_aac6-Isa,Gentamicin
amino-g0077_aac6-It,Gentamicin
amino-g0078_aac6-Iu,Gentamicin
amino-g0079_aac6-Iv,Gentamicin
amino-g0080_aac6-Iw,Gentamicin
amino-g0081_aac6-Ix,Gentamicin
amino-g0082_aac6-Iy,Gentamicin
amino-g0083_aac6-Iz,Gentamicin
amino-g0084_aac6-sk,
amino-g0085a_aad6_a,
amino-g0086_aad6_b,
amino-g0088_aadA10,"Spectinomycin,Streptomycin"
amino-g0089_aadA11_a,"Spectinomycin,Streptomycin"
amino-g0090_aadA11_b,"Spectinomycin,Streptomycin"
amino-g0091_aadA12,"Spectinomycin,Streptomycin"
amino-g0092_aadA13,"Spectinomycin,Streptomycin"
amino-g0093_aadA14,"Spectinomycin,Streptomycin"
amino-g0094_aadA15,"Spectinomycin,Streptomycin"
amino-g0095_aadA16,"Spectinomycin,Streptomycin"
amino-g0096_aadA17,"Spectinomycin,Streptomycin"
amino-g0097_aadA1b,"Spectinomycin,Streptomycin"
amino-g0098_aadA2,"Spectinomycin,Streptomycin"
amino-g0099_aadA21,"Spectinomycin,Streptomycin"
amino-g0101_aadA22_b,"Spectinomycin,Streptomycin"
amino-g0102_aadA23,"Spectinomycin,Streptomycin"
amino-g0103_aadA24,"Spectinomycin,Streptomycin"
amino-g0104_aadA25,
amino-g0106_aadA3,"Spectinomycin,Streptomycin"
amino-g0107_aadA4,"Spectinomycin,Streptomycin"
amino-g0108_aadA5,"Spectinomycin,Streptomycin"
amino-g0109_aadA6,"Spectinomycin,Streptomycin"
amino-g0110_aadA6_aadA10_a,"Spectinomycin,Streptomycin"
amino-g0111a_aadA6_aadA10_b,"Spectinomycin,Streptomycin"
amino-g0112_aadA7,"Spectinomycin,Streptomycin"
amino-g0113_aadA8,"Spectinomycin,Streptomycin"
amino-g0114_aadA9,"Spectinomycin,Streptomycin"
amino-g0115_aadK,Streptomycin
amino-g0116_ant2-Ia,Gentamicin
amino-g0117_ant3-1a,Streptomycin
amino-g0118_ant3-Ia,Streptomycin
amino-g0119_ant3-II-aac6-IId,"Gentamicin, Streptomycin, Tobramycin, Spectinomycin"
amino-g0120_ant4-Ia_a,Gentamicin
amino-g0121_ant4-Ia_b,Gentamicin
amino-g0122_ant4-IIa,Gentamicin
amino-g0123_ant4-IIb,Gentamicin
amino-g0124_ant6-Ia,
amino-g0125_ant6-Ia_a,
amino-g0127_ant6-Ia_c,
amino-g0128_ant6-Ia_d,
amino-g0129_ant9-Ia_a,
amino-g0130_ant9-Ia_b,
amino-g0132_aph2-Ie,Gentamicin
amino-g0133_aph2-IIa,Gentamicin
amino-g0134_aph2-IIIa,Gentamicin
amino-g0135_aph2-IVa,Gentamicin
amino-g0136_aph3-Ia,"Neomycin,Kanamycin"
amino-g0137_aph3-Ia,
amino-g0138_aph3-Ib,"Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin"
amino-g0139_aph3-Ib_strA,Streptomycin
amino-g0140_aph3-Ic,"Neomycin,Kanamycin"
amino-g0141_aph3-Ic,
amino-g0142_aph3-IIa,"Neomycin,Kanamycin"
amino-g0143_aph3-IIb,Unknown Aminoglycoside
amino-g0145_aph3-IIIa,
amino-g0146_aph3-IVa,
amino-g0147_aph3-Va,
amino-g0148_aph3-Vb,
amino-g0149_aph3-Vc,
amino-g0150_aph3-VIa,
amino-g0152_aph3-VIIa,
amino-g0153_aph4-Ia,Hygromycin
amino-g0154_aph4-Ib,
amino-g0155_aph6-Ia,
amino-g0156_aph6-Ib,
amino-g0157_aph6-Ic,Streptomycin
amino-g0158_aph6-Id_strB,Streptomycin
amino-g0160_aph9-Ia,
amino-g0161_aph9-Ib,
amino-g0162_armA,"Amikacin, Gentamicin, Tobramycin, Isepamicin, Netilmicin"
amino-g0163_grm,
amino-g0164_npmA,
amino-g0165_putative_aac2,
amino-g0166_rmtA,
amino-g0167a_rmtB,
amino-g0168_rmtC,
amino-g0169_rmtD,
amino-g0170_rmtD2,
amino-g0171_aac6-Ib-cr,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin,Fluoroquinolone,Ciprofloxacin"
amino-g1978_aac3-IId,Gentamicin
amino-g2232_rmtE1,
amino-g2233_rmtE2,
amino-g2234_rmtF,
amino-g2235_rmtG,
amino-g2236_rmtH,
amino-g2237_npmA,"Amikacin, Gentamicin, Tobramycin, Dibekacin, Kanamycin, Isepamicin, Netilmicin, Sisomicin, Neomycin, Apramycin"
amino-g2312_aac6_prime-Ib8,
amino-g2343_aadD,"Amikacin, Tobramycin"
amino-g2344_aadE-Cc,Streptomycin
amino-g2345_grmA,"Amikacin, Gentamicin, Tobramycin"
amino-g2346_grmB,"Amikacin, Gentamicin, Tobramycin"
amino-g2347_grmO,"Amikacin, Gentamicin, Tobramycin"
amino-g2348_kamB,"Amikacin, Gentamicin, Tobramycin, Apramycin"
amino-g2349_kgmB,"Amikacin, Gentamicin, Tobramycin, Apramycin"
amino-g2350_kmr,"Amikacin, Gentamicin, Tobramycin"
amino-g2351_sgm,"Amikacin, Gentamicin, Tobramycin"
betaL-g0172_ACC-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0173_ACC-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0174_ACC-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0175_ACC-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0176_ACT-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0177_ACT-10,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0178_ACT-12,"Cefotaxime, Ceftazidime, Ampicillin"
