id,antimicrobial,Bacteria,Ref,,
amino-g0001_aac2-Ia,Gentamicin,,L06156,aac2-,
amino-g0003_aac2-Ic,Gentamicin,,CP001658,aac2-,
amino-g0005_aac3_pEK516,Gentamicin,,NC_013121.1,aac3_,
amino-g0006_aac3-Ia_a,Gentamicin,,X15852,aac3-,
amino-g0007_aac3-Ia_b,Gentamicin,,AF550679,aac3-,
amino-g0008_aac3-Ib,Gentamicin,,L06157,aac3-,
amino-g0009_aac3-Ib_aac6-Ib,Gentamicin,,AF355189,aac3-,
amino-g0010_aac3-Ic,Gentamicin,,AJ511268,aac3-,
amino-g0011_aac3-Id,Gentamicin,,"AY458224, AY463797",aac3-,
amino-g0014_aac3-IIa,Gentamicin,,X13543,aac3-,
amino-g0015_aac3-IIb,Gentamicin,,M97172,aac3-,
amino-g0016_aac3-IIc,Gentamicin,,X54723,aac3-,
amino-g0017_aac3-IIIa,Gentamicin,,X55652,aac3-,
amino-g0018_aac3-IIIb,"Neomycin, Gentamicin, Dibekacin, Sisomicin, Tobramycin, Kanamicin A, Paromomicin, Lividomicin, 5-episisomicin",,L06160,aac3-,
amino-g0019_aac3-IIIc,Gentamicin,Pseudomonas aeruginosa,L06161,aac3-,
amino-g0020_aac3-IVa,"Apramycin, Gentamicin, Dibekacin, Netilmicin, Sisomicin, Tobramycin",,X01385,aac3-,
amino-g0021_aac3-IXa,Neomycin,,M55427,aac3-,
amino-g0022_aac3-VIa_a,Gentamicin,,M88012,aac3-,
amino-g0024_aac3-VIa_c,Gentamicin,,NC_009838,aac3-,
amino-g0025_aac3-VIIa,Paromomycin,,M22999,aac3-,
amino-g0026_aac3-VIIIa,Neomycin,,M55426,aac3-,
amino-g0027_aac3-Xa,Kanamycin,,AB028210,aac3-,
amino-g0028_aac6-29a,Gentamicin,,AF263519,aac6-,
amino-g0030_aac6-30_aac6-Ib,Gentamicin,,AJ584652,aac6-,
amino-g0031_aac6-31,Gentamicin,,AM283490,aac6-,
amino-g0032_aac6-32,Gentamicin,,EF614235,aac6-,
amino-g0033_aac6-33,Gentamicin,,GQ337064,aac6-,
