id,gene,gene_function,sub_class,class,source_organism
Bacet-g0001_iclR,iclR,Acetate_resistance_protein,Acetate resistance,Biocides,Escherichia coli
Bacet-g0002_lpdT,lpdT,Acetate_resistance_protein,Acetate resistance,Biocides,Escherichia coli
Bacid-g0003_ariR,ariR,biofilm/acid-resistance_regulator_AriR,Acid resistance,Biocides,Escherichia coli
Bacid-g0004_asr,asr,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Bacid-g0005_eefA,eefA,Acid_resistance_protein,Acid resistance,Biocides,Klebsiella pneumoniae
Bacid-g0006_eefX,eefX,Acid_resistance_protein,Acid resistance,Biocides,Klebsiella pneumoniae
Bacid-g0007_evgA,evgA,Acid_resistance_regulator,Acid resistance,Biocides,Escherichia coli
Bacid-g0008_gadA,gadA,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Bacid-g0009_gadB,gadB,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Bacid-g0010_gadC,gadC,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Bacid-g0011_gadE,gadE,Acid_resistance_regulator,Acid resistance,Biocides,Shigella sonnei
Bacid-g0012_hdeA,hdeA,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Bacid-g0013_hdeB,hdeB,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Bacid-g0014_hefA,hefA,Acid_resistance_protein,Acid resistance,Biocides,Helicobacter pylori P12
Bacid-g0015_hefC,hefC,Acid_resistance_protein,Acid resistance,Biocides,Helicobacter pylori P12
Bacid-g0016_ydeP,ydeP,Acid_resistance_protein,Acid resistance,Biocides,Escherichia coli
Balde-g0017_frmA,frmA,S-(hydroxymethyl)glutathione_dehydrogenase,Aldehyde resistance,Biocides,Enterobacter hormaechei
Balde-g0018_frmA,frmA,S-(hydroxymethyl)glutathione_dehydrogenase,Aldehyde resistance,Biocides,Escherichia coli
Bethi-g0019_emhA,emhA,efflux_RND_transporter_periplasmic_adaptor_subunit_EmhA,"Ethidium Bromide, Crystal Violet, Sodium Dodecyl Sulfate (SDS) resistance",Biocides,Pseudomonas protegens
Bfatt-g0020_farB,farB,fatty_acid_resistance_MFS_efflux_transporter_permease_subunit_FarB,Fatty acid resistance,Biocides,Neisseria gonorrhoeae
Bfatt-g0021_farB,farB,fatty_acid_resistance_MFS_efflux_transporter_permease_subunit_FarB,Fatty acid resistance,Biocides,Neisseria meningitidis
Bfluo-g0022_crcB,crcB,fluoride_efflux_transporter_CrcB,Fluoride resistance,Biocides,Klebsiella pneumoniae
Bfusi-g0023_fusB,fusB,fusidic_acid_resistance_EF-G-binding_protein_FusB,Fusidic acid resistance,Biocides,Staphylococcus epidermidis
Bfusi-g0024_fusC,fusC,fusidic_acid_resistance_EF-G-binding_protein_FusC,Fusidic acid resistance,Biocides,Staphylococcus hominis subsp. hominis
Bfusi-g0025_fusF,fusF,fusidic_acid_resistance_EF-G-binding_protein_FusF,Fusidic acid resistance,Biocides,Staphylococcus ureilyticus
Bfusi-g0026_fusH,fusH,fusidic_acid_esterase_FusH,Fusidic acid resistance,Biocides,Streptomyces lividans
Bmult-g0027_abuO,abuO,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Acinetobacter baumannii
Bmult-g0028_bltR,bltR,Multi-biocide_resistance_regulator,Multi-biocide resistance,Biocides,Bacillus subtilis subsp. subtilis str. 168
Bmult-g0029_bltR,bltR,Multi-biocide_resistance_regulator,Multi-biocide resistance,Biocides,Bacillus subtilis subsp. subtilis str. 168
Bmult-g0030_ebrA,ebrA,Multi-biocide_SMR_efflux_pump,Multi-biocide resistance,Biocides,Bacillus spizizenii ATCC 6633 = JCM 2499
Bmult-g0031_ebrB,ebrB,Multi-biocide_SMR_efflux_pump,Multi-biocide resistance,Biocides,Bacillus atrophaeus ATCC 9372
Bmult-g0032_emhR,emhR,Multi-biocide_RND_efflux_regulator,Multi-biocide resistance,Biocides,Pseudomonas protegens
Bmult-g0033_emmdR,emmdR,Multi-biocide_MATE_efflux_pump,Multi-biocide resistance,Biocides,Enterobacter cloacae
Bmult-g0034_hasF,hasF,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Serratia marcescens
Bmult-g0035_hsmR,hsmR,Multi-biocide_resistance_protein,Multi-biocide resistance,Biocides,Halobacterium salinarum
Bmult-g0036_kexD,kexD,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Klebsiella pneumoniae subsp. pneumoniae MGH 78578
Bmult-g0037_lde,lde,Multi-biocide_MFS_efflux_pump,Multi-biocide resistance,Biocides,Listeria monocytogenes
Bmult-g0038_mdeA,mdeA,Multi-biocide_resistance_protein,Multi-biocide resistance,Biocides,Pseudomonas putida
Bmult-g0039_mexV,mexV,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa
Bmult-g0040_mexW,mexW,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa
Bmult-g0041_oprJ,oprJ,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa
Bmult-g0042_oprJ,oprJ,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa
Bmult-g0043_oprM,oprM,Multi-biocide_RND_efflux_pump,Multi-biocide resistance,Biocides,Pseudomonas aeruginosa
