id,Gene_origin,Genomic_location,Class,Metal_biocide_function,,,
BAM0001_acrA_1,Escherichia coli,Chromosome,Biocide,"Acriflavine [class: Acridine], Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], p-xylene [class: Aromatic hydrocarbons], Cyclohexane [class: Cycloalkane], Pentane [class: Alkane]",,,
BAM0002_acrB_1,Escherichia coli,Chromosome,Biocide,"Acriflavine [class: Acridine], Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], p-xylene [class: Aromatic hydrocarbons], Cyclohexane [class: Cycloalkane], Pentane [class: Alkane]",,,
BAM0003_acrD_1,Escherichia coli,Chromosome,Biocide,"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid]",,,
BAM0004_acrE_1,Escherichia coli,Chromosome,Biocide,"Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine]",,,
BAM0005_acrF_1,Escherichia coli,Chromosome,Biocide,"Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine]",,,
BAM0006_acrR_1,Escherichia coli,Chromosome,Biocide,Acriflavine [class: Acridine],,,
BAM0007_actP_1,Escherichia coli,Chromosome,Biocide,"Sodium Glycocholate [class: Acid], Sodium acetate [class: Acetate]",,,
BAM0008_ariR_1,Escherichia coli,Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1))),Biocide,"Hydrochloric Acid (HCl) [class: Acid], Hydrogen Peroxide (H2O2) [class: Peroxides]",,,
BAM0009_arsA_1,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0010_arsA_2,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0011_arsB_1,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0012_arsB_2,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0013_arsC_1,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0014_arsC_2,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0015_arsD_1,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0016_arsD_2,Escherichia coli,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb)",,,
BAM0017_arsR_1,Unknown,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb), Bismuth (Bi)",,,
BAM0018_arsR_2,Escherichia coli,Plasmid IncN R46,Metal,"Arsenic (As), Antimony (Sb), Bismuth (Bi)",,,
BAM0019_asr_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0020_baeR_1,Escherichia coli,Chromosome,Metal,"Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]",,,
BAM0021_baeR_2,Salmonella typhimurium,Chromosome,Metal,"Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]",,,
BAM0022_baeS_1,Salmonella typhimurium,Chromosome,Metal,"Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]",,,
BAM0023_baeS_2,Escherichia coli,Chromosome,Metal,"Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]",,,
BAM0024_bcr_1,Escherichia coli,Chromosome,Biocide,Acriflavine [class: Acridine],,,
BAM0025_bhsA_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0026_ClpL_1,Listeria monocytogenes,Plasmid,Biocide,Heat,,,
BAM0027_comR_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0028_copA_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0029_cueO_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0030_cueR_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0031_cusA_1,Escherichia coli,"Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),",Metal,"Copper (Cu), Silver (Ag)",,,
BAM0032_cusB_1,Escherichia coli,Chromosome,Metal,"Copper (Cu), Silver (Ag)",,,
BAM0033_cusC_1,Escherichia coli,Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),Metal,"Copper (Cu), Silver (Ag)",,,
BAM0034_cusF_1,Escherichia coli,"Plasmid pkPN3 (Klebsiella pneumoniae subsp. pneumoniae MGH 78578), Plasmid pAPEC-O2-R",Metal,"Copper (Cu), Silver (Ag)",,,
BAM0035_cusR_1,Enterobacter cloacae,plasmid pECL_A,Metal,"Copper (Cu), Silver (Ag)",,,
BAM0036_cusR_2,Escherichia coli,Chromosome,Metal,"Copper (Cu), Silver (Ag)",,,
BAM0037_cusS_1,Escherichia coli,Chromosome,Metal,"Copper (Cu), Silver (Ag)",,,
BAM0038_cutA_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0039_cutC_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0040_cutE_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0041_cutF_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0042_czcB_1,Escherichia coli,Chromosome,Metal,"Cobalt (Co), Zinc (Zn), Cadmium (Cd)",,,
BAM0043_dsbA_1,Escherichia coli,Chromosome,Metal,"Cadmium (Cd), Zinc (Zn), Mercury (Hg)",,,
BAM0044_dsbC_1,Escherichia coli,Chromosome,Metal,Copper (Cu),,,
BAM0045_emrA_1,Escherichia coli,Chromosome,Biocide,"Phenylmercury Acetate [class: Organo-mercury], 2-Chlorophenylhydrazine [class: Hydrazine], Carbonylcyanide m-chlorophenyl hydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]",,,
BAM0046_emrB_1,Escherichia coli,Chromosome,Biocide,"Phenylmercury Acetate [class: Organo-mercury], 2-Chlorophenylhydrazine [class: Hydrazine], Carbonylcyanide m-chlorophenyl hydrazone (CCCP) [class: Hydrazone]",,,
BAM0047_emrD_1,Escherichia coli,Chromosome,Biocide,"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]",,,
BAM0048_emrE_1,Escherichia coli,Chromosome,Biocide,"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]",,,
BAM0049_emrK_1,Escherichia coli,Chromosome,Biocide,"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Crystal Violet [class: Triarylmethane], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]",,,
BAM0050_emrR_1,Escherichia coli,Chromosome,Biocide,Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone],,,
BAM0051_emrY_1,Escherichia coli,Chromosome,Biocide,"Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]",,,
BAM0052_evgS_1,Escherichia coli,Chromosome,Biocide,Sodium Deoxycholate (SDC) [class: Acid],,,
BAM0053_fabI_1,Escherichia coli,Chromosome,Biocide,Triclosan [class: Phenolic compounds],,,
BAM0054_fief_1,Escherichia coli,Chromosome,Metal,"Iron (Fe), Zinc (Zn), Cobalt (Co), Cadmium (Cd), Nickel (Ni)",,,
BAM0055_formA_1,Escherichia coli,Plasmid,Biocide,Aldehydes,,,
BAM0056_gadA_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0057_gadB_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0058_gadC_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0059_gadE_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0060_gadW_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0061_gadX_1,Escherichia coli,Chromosome,Biocide,"Hydrochloric acid (HCl) [class: Acid], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]",,,
BAM0062_glpF_1,Escherichia coli,Chromosome,Metal,"Antimony (Sb), Arsenic (As), Glycerol [class: Alcohol]",,,
BAM0063_hdeA_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0064_hdeB_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0065_ibpA_1,Escherichia coli,Chromosome,Biocide,Hydrogen Peroxide (H2O2) [class: Peroxides],,,
BAM0066_ibpB_1,Escherichia coli,Chromosome,Biocide,Hydrogen Peroxide (H2O2) [class: Peroxides],,,
BAM0067_iclR_1,Escherichia coli,Chromosome,Biocide,Sodium acetate [class: Acetate],,,
BAM0068_iptD_1,Escherichia coli,Chromosome,Biocide,n-hexane [class: Alkane],,,
BAM0069_klaC_1,Escherichia coli,"Plasmid IncP-alpha RK2 (E. coli), Plasmid pBS228 (Pseudomonas aeruginosa)",Metal,Tellurium (Te),,,
BAM0070_marA_1,Escherichia coli,Chromosome,Biocide,"Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]",,,
BAM0071_marR_1,Escherichia coli,Chromosome,Biocide,"Cyclohexane [class: Cycloalkane], Diphenyl Ether [class: Phenyl], n-hexane [class: Alkane]",,,
BAM0072_mdtA_1,Escherichia coli,Chromosome,Biocide,Sodium Deoxycholate (SDC) [class: Acid],,,
BAM0073_mdtB_1,Escherichia coli,Chromosome,Biocide,"Sodium Deoxycholate (SDC) [class: Acid], Hydrochloric acid (HCl) [class: Acid]",,,
BAM0074_mdtC_1,Escherichia coli,Chromosome,Biocide,Sodium Deoxycholate (SDC) [class: Acid],,,
