Reference Acc#,Location,CDS,Complement strand,Gene Name,locus tag,Product,Comment,Refs for comment,nucleotide sequence,aa sequence
CP001357,Chromosome,267198..267920,no,hly_1,BHWA1_00238,hemolysin protein,hemolysin protein,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,704857..706191,no,hly_2,BHWA1_00587,hemolysin protein,hemolysin protein,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,1414869..1417355,complement,hlyB,BHWA1_01228,hemolysin B; ClpA, ATPases with chaperone activity, ATP-binding subunit,hemolysin protein,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,1644980..1645786,complement,hlyC,BHWA1_01427,Hemolysin C,hemolysin protein,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,1418488..1420332,complement,clpX,BHWA1_01231,membrane-associated ATP-dependent Clp protease ATP-binding subunit,Inner membrane protein,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,1023891..1024910,no,bitC,BHWA1_00869,periplasmic-iron-binding protein BitC,Iron metabolism,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,158429..159781,complement,gdh,BHWA1_00140,glutamate dehydrogenase,MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,1452250..1453887,no,alp,BHWA1_01267,alkaline phosphatase III (phoB),MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,1555337..1556317,complement,est,BHWA1_01348,nylC-like family protein,MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,1934726..1935901,no,thi,BHWA1_01674,acetyl-CoA acetyltransferase,MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,2146373..2147434,no,adh,BHWA1_01862,alcohol dehydrogenase,MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,2258384..2259868,complement,glp,BHWA1_01960,glycerol kinase (glpK),MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,2589871..2591562,complement,pgm,BHWA1_02285,phosphomannomutase (manB),MLST,Rasback etal 2007 Microbiol 153: 4074-4087,,
CP001357,Chromosome,1534137..1534252,complement,rRNA_5S,BHWA1_02697,5S ribosomal RNA,no comment,none,,
CP001357,Chromosome,1246414..1246917,no,smpB,BHWA1_01070,SmpB outer membrane protein,Outer membrane protein,Barth etal 2012 Vet Microbiol 115: 438-443,,
CP001357,Chromosome,722325..724235,no,gyrB,BHWA1_00601,D Gyrase B subunit,resistance - coumermycin A1,Stanton etal 2001 AEM 67:5 2037-2043,,
CP001357,Chromosome,2384856..2386350,no,rRNA_16S,BHWA1_02699,16S ribosomal RNA,resistance - doxycycline,Pringle etal 2007 VetMicro 123 245-248,,
CP001357,Chromosome,2432545..2433198,no,rplC,BHWA1_02124,50S ribosomal protein L3,resistance - tiamulin,Hillen etal 2014 VetMicro 172:223-229,,
CP001357,Chromosome,1534367..1537354,complement,rRNA_23S,BHWA1_02698,23S ribosmal RNA,resistance - tiamulin,Hillen etal 2014 VetMicro 172:223-229,,
CP001357,Chromosome,2433227..2433874,no,rplD,BHWA1_02125,50S ribosomal protein L4,resistance - tiamulin (potential for but never demonstrated),Hillen etal 2014 VetMicro 172:223-229,,
CP001357,Chromosome,2434228..2435028,no,rplB,BHWA1_02127,50S ribosomal protein L2,resistance - tiamulin (potential for but never demonstrated),Hillen etal 2014 VetMicro 172:223-229,,
CP001357,Chromosome,2435309..2435716,no,rplV,BHWA1_02129,50S ribosomal protein L22,resistance - tiamulin (potential for but never demonstrated),Hillen etal 2014 VetMicro 172:223-229,,
CP001357,Chromosome,2033403..2034218,no,bmpB,BHWA1_01754,BmpB, outer membrane lipoprotein,vaccine candidate,La etal Vet Microbiol. 2004 102(1-2):97-109.,,
CP001357,Chromosome,2121760..2123001,no,hvp45,BHWA1_01838,Hvp 45 VSH-1 capsid protein,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2123304..2124257,no,hvp19_22,BHWA1_01839,Hvp 19/Hvp 22 VSH-1 associated protein 1,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2124361..2124816,no,hvp13,BHWA1_01840,Hvp 13 VSH-1 associated protein 2,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2125122..2126165,no,hvp38,BHWA1_01841,Hvp 38 VSH-1 associated protein 3,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2127442..2127999,no,hvp24,BHWA1_01844,Hvp 24 VSH-1 capsid protein,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2128455..2129852,no,hvp53,BHWA1_01846,Hvp 53 VSH-1 major tail protein,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2131660..2132535,no,hvp32,BHWA1_01850,Hvp 32 VSH-1 tail protein,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2132609..2135149,no,hvp101,BHWA1_01851,Hvp 101 VSH-1 tail protein,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2135161..2135709,no,hvp28,BHWA1_01852,Hvp 28 VSH-1 tail protein,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2135714..2136307,no,lys,BHWA1_01853,Lys - endolysin; glycoside hydrolase,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
CP001357,Chromosome,2137181..2137438,no,hol,BHWA1_01855,Hol,VSH prophage,Matson etal J Bact 2005 187:17 5885-5892,,
