id,gene,gene_function,sub_class,class,source_organism,1st_blast_match,1st_blast_cov,2nd_blast_match,2nd_blast_cov,3rd_blast_match,3rd_blast_cov
Bacet-g0001_iclR,iclR,Acetate resistance protein,Acetate resistance,Biocides,Escherichia coli,Bacet-g0002_iclR,100,NA,NA,NA,NA
Bacet-g0002_iclR,iclR,Acetate resistance protein,Acetate resistance,Biocides,Escherichia coli,Bacet-g0001_iclR,95,NA,NA,NA,NA
Bacet-g0003_lpdT,lpdT,Acetate resistance protein,Acetate resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bacid-g0004_ariR,ariR,biofilm/acid-resistance regulator AriR,Acid resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bacid-g0005_asr,asr,Acid resistance repetitive basic protein Asr,Acid resistance,Biocides,Escherichia coli,Bacid-g0006_asr,100,NA,NA,NA,NA
Bacid-g0006_asr,asr,Acid resistance repetitive basic protein Asr,Acid resistance,Biocides,Escherichia coli,Bacid-g0005_asr,92,NA,NA,NA,NA
Bacid-g0007_eefA,eefA,Acid resistance protein,Acid resistance,Biocides,Klebsiella pneumoniae,NA,NA,NA,NA,NA,NA
Bacid-g0008_eefX,eefX,Acid resistance protein,Acid resistance,Biocides,Klebsiella pneumoniae,NA,NA,NA,NA,NA,NA
Bacid-g0009_evgA,evgA,Acid resistance regulator,Acid resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bacid-g0010_gadA,gadA,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,Bacid-g0011_gadB,100,NA,NA,NA,NA
Bacid-g0011_gadB,gadB,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,Bacid-g0010_gadA,100,NA,NA,NA,NA
Bacid-g0012_gadC,gadC,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bacid-g0013_gadE,gadE,Acid resistance regulator,Acid resistance,Biocides,Shigella sonnei,NA,NA,NA,NA,NA,NA
Bacid-g0014_hdeA,hdeA,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Bacid-g0015_hdeB,hdeB,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,Bacid-g0016_hdeB,100,NA,NA,NA,NA
Bacid-g0016_hdeB,hdeB,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,Bacid-g0015_hdeB,96,NA,NA,NA,NA
Bacid-g0017_hefA,hefA,Acid resistance protein,Acid resistance,Biocides,Helicobacter pylori P12,NA,NA,NA,NA,NA,NA
Bacid-g0018_hefC,hefC,Acid resistance protein,Acid resistance,Biocides,Helicobacter pylori P12,NA,NA,NA,NA,NA,NA
Bacid-g0019_ydeP,ydeP,Acid resistance protein,Acid resistance,Biocides,Escherichia coli,NA,NA,NA,NA,NA,NA
Balde-g0020_frmA,frmA,S-(hydroxymethyl)glutathione dehydrogenase,Aldehyde resistance,Biocides,Enterobacter hormaechei,Balde-g0022_frmA,100,Balde-g0021_frmA,80.918,NA,NA
Balde-g0021_frmA,frmA,S-(hydroxymethyl)glutathione dehydrogenase,Aldehyde resistance,Biocides,Escherichia coli,Balde-g0022_frmA,100,Balde-g0020_frmA,80.918,NA,NA
Balde-g0022_frmA,frmA,S-(hydroxymethyl)glutathione dehydrogenase,Aldehyde resistance,Biocides,Escherichia coli,Balde-g0021_frmA,100,Balde-g0020_frmA,81.098,NA,NA
Bethi-g0023_emhA,emhA,efflux RND transporter periplasmic adaptor subunit EmhA,"Ethidium bromide, Crystal Violet, Sodium Dodecyl Sulfate (SDS) resistance",Biocides,Pseudomonas protegens,NA,NA,NA,NA,NA,NA
Bfatt-g0024_farB,farB,fatty acid resistance MFS efflux transporter permease subunit FarB,Fatty acid resistance,Biocides,Neisseria gonorrhoeae,Bfatt-g0025_farB,100,NA,NA,NA,NA
