id,Virulence_function,Associated_pathotypes
Vir0001_eae_1,Adhesion: Intimin,"EPEC,EHEC"
Vir0002_hlyB_1,Toxin: Alpha-Hemolysin,AIEC
Vir0003_ybtS_1,Siderophore: Yersiniabactin,ExPEC
Vir0004_irp2_1,Siderophore: Yersiniabactin,ExPEC
Vir0005_aec18_1,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0006_espB_1,Hypothetical Protein,EHEC
Vir0007_tccP2_1,NA,EHEC
Vir0008_eaeH_1,Adhesion,UPEC
Vir0009_chuT_1,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0010_fimF_1,Adhesion: Type I Fimbriae,ExPEC
Vir0011_ecpC_1,Adhesion: E.coli common pilus,ETEC
Vir0012_ecpC_2,Adhesion: E.coli common pilus,NMEC
Vir0013_papI_1,Adhesion: P Fimbriae,ExPEC
Vir0014_sfaG_1,Adhesion: S Fimbriae,ExPEC
Vir0015_aaiA_1,Secretion system: Type VI,EAEC
Vir0016_fyuA_1,Siderophore: Yersiniabactin,ExPEC
Vir0018_stx2B_1,Toxin: Shiga,EHEC
Vir0019_cdtC_1,Toxin: Cytolethal Distending Toxin,EPEC|ExPEC|NTEC
Vir0020_espX7_1,NA,EHEC
Vir0021_escS_1,Secretion system: Type III,EHEC
Vir0022_EC042_1,Secretion system: Type VI,EAEC
Vir0023_sitA_1,Iron: Transport,ExPEC
Vir0024_aec27_1,Secretion system: Type VI,EHEC
Vir0025_aida_1,Protease,DAEC
Vir0026_CDCO1_1,Hypothetical Protein,EHEC
Vir0027_ecpE_1,Adhesion: E.coli common pilus,EHEC
Vir0028_iucA_1,Siderophore: Aerobactin,UPEC|APEC
Vir0029_fimD_1,Adhesion: Type I Fimbriae,ExPEC
Vir0030_aaiL_1,Hypothetical Protein,EAEC
Vir0031_espY3_1,Hypothetical Protein,EHEC
Vir0032_nleG7_1,Secretion system: Type III,EHEC
Vir0033_aec27_2,Secretion system: Type VI,EPEC
Vir0034_ECNA1_1,Hypothetical Protein,UPEC
Vir0035_fimG_1,Adhesion: Type I Fimbriae,ExPEC
Vir0036_aec8_1,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0037_tir_1,Adhesion: Intimin,EPEC
Vir0038_NRG85_1,NA,AIEC
Vir0039_fimH_1,Adhesion: Type I Fimbriae,ExPEC
Vir0040_ibeB_1,Invasion: brain endothelial cells & Copper/Silver efflux resistance,NMEC|SEPEC|APEC
Vir0042_hlyC_1,Toxin: Alpha-Hemolysin,UPEC
Vir0043_aec23_1,Secretion system: Type VI: Hypothetical Protein,AIEC
Vir0044_espO1_1,Secretion system: Type III,EHEC
Vir0045_sepL_1,NA,EHEC
Vir0046_aec15_1,Secretion system: Type VI: Hypothetical Protein,StxEAEC
Vir0047_iucC_1,Siderophore: Aerobactin,UPEC|APEC
Vir0048_espL2_1,NA,EHEC
Vir0049_aaiN_1,Hypothetical Protein,StxEAEC
Vir0050_paa_1,Adhesion,EPEC
Vir0051_senB_1,Toxin: Enterotoxin,UPEC
Vir0052_vgrG_1,Hypothetical Protein,EAEC
Vir0053_chuS_1,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0054_ibeC_1,Invasion: brain endothelial cells,NMEC|SEPEC|APEC
Vir0055_vat_1,Vacuolating autotransporter toxin: plasmid,ExPEC
Vir0056_sitC_1,Iron: Transport,ExPEC
Vir0057_chuT_2,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0058_irp1_1,Siderophore: Yersiniabactin,ExPEC
Vir0059_chuY_1,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0060_agg3C_1,NA,StxEAEC
Vir0061_aafC_1,Adhesion: Fimbriae,EAEC
Vir0062_escC_1,Secretion system: Type III,EHEC
Vir0063_mpc_1,NA,EHEC
Vir0064_iroN_1,Siderophore: Salmochelin,ExPEC
Vir0065_aec25_1,Secretion system: Type VI: Hypothetical Protein,UPEC
Vir0066_cesD2_1,NA,EHEC
Vir0067_ybtU_1,Siderophore: Yersiniabactin,ExPEC
Vir0068_eaeH_2,Adhesion,NMEC
Vir0069_nleA_1,Secretion system: Type III,EPEC
Vir0070_nleB1_1,Secretion system: Type III,EHEC
Vir0072_ecpB_1,Adhesion: E.coli common pilus,EHEC
Vir0073_ecpE_2,Adhesion: E.coli common pilus,EPEC
Vir0074_cfaA_1,Adhesion: CFA/I Fimbriae,UPEC
Vir0075_ybtT_1,Siderophore: Yersiniabactin,ExPEC
Vir0076_espY4_1,Hypothetical Protein,EPEC
Vir0077_aec23_2,Secretion system: Type VI: Hypothetical Protein,ETEC
Vir0078_espA_1,Hypothetical Protein,EHEC
Vir0079_espX6_1,Secretion system: Type III,EHEC
Vir0080_espX1_1,Secretion system: Type III,EHEC
Vir0081_upaG_1,Adhesion,UPEC
Vir0082_escJ_1,Secretion system: Type III,EHEC
Vir0083_ECNA1_2,Hypothetical Protein,UPEC
Vir0084_i02_3_1,Hypothetical Protein,UPEC
Vir0085_aec15_2,Secretion system: Type VI,EHEC
Vir0086_irp2_2,Siderophore: Yersiniabactin,ExPEC
Vir0087_sepQ_1,Secretion system: Type III,EPEC
Vir0088_chuY_2,Iron: E.coli hemin uptake,APEC|AIEC|UPEC|EHEC|NMEC|EPEC|EAEC
Vir0090_fimE_1,Adhesion: Type I Fimbriae,ExPEC
Vir0091_EC042_2,Secretion system: Type VI,EAEC
Vir0092_fimH_2,Adhesion: Type I Fimbriae,ExPEC
Vir0093_stx2A_1,Toxin: Shiga,EHEC
Vir0094_ecpD_1,Adhesion: E.coli common pilus,EHEC
Vir0095_tir_2,Adhesion: Intimin,EHEC
Vir0096_espR3_1,Hypothetical Protein,EHEC
Vir0097_fimF_2,Adhesion: Type I Fimbriae,ExPEC
Vir0098_iroB_1,Siderophore: Salmochelin,ExPEC
Vir0099_ybtP_1,Siderophore: Yersiniabactin,ExPEC
