type,gene,db_xref,start,end,Length,strand,product
CDS,thrL,GI:378697984,169,255,88,1,thr operon leader peptide
CDS,thrA,GI:378697985,337,2799,2464,1,aspartokinase I/homoserine dehydrogenase I
CDS,thrB,GI:378697986,2801,3730,931,1,Homoserine kinase
CDS,thrC,GI:378697987,3734,5020,1288,1,threonine synthase
CDS,none,GI:378697988,5114,5887,775,-1,hypothetical protein
CDS,yaaJ,GI:378697989,5966,7396,1432,-1,putative amino-acid transport protein
CDS,talB,GI:378697990,7665,8618,955,1,transaldolase B
CDS,mog,GI:378697991,8729,9319,592,1,molybdopterin biosynthesis Mog protein
CDS,none,GI:378697992,9376,9942,568,-1,hypothetical protein
CDS,none,GI:378697993,10092,10805,715,-1,hypothetical protein
CDS,none,GI:378697994,10841,11245,406,-1,hypothetical protein
CDS,dnaK,GI:378697995,11593,13509,1918,1,chaperone protein dnaK
CDS,dnaJ,GI:378697996,13595,14734,1141,1,DnaJ protein
CDS,none,GI:378697997,15014,15961,949,1,putative regulatory protein
CDS,none,GI:378697998,16088,16432,346,1,bacteriophage protein
CDS,none,GI:378697999,16493,17026,535,-1,hypothetical protein
CDS,none,GI:378698000,17043,17486,445,-1,hypothetical protein
CDS,none,GI:378698001,17867,19966,2101,1,putative chitinase
CDS,none,GI:378698002,20058,23054,2998,1,putative chitinase
CDS,none,GI:378698003,23335,24039,706,1,hypothetical protein
CDS,bcfA,GI:378698004,24469,25011,544,1,fimbrial subunit
CDS,bcfB,GI:378698005,25112,25798,688,1,fimbrial chaperone
CDS,bcfC,GI:378698006,25803,28424,2623,1,fimbrial usher protein
CDS,bcfD,GI:378698007,28425,29432,1009,1,fimbrial subunit
CDS,bcfE,GI:378698008,29433,29978,547,1,fimbrial subunit
CDS,bcfF,GI:378698009,29994,30512,520,1,fimbrial subunit
CDS,bcfG,GI:378698010,30505,31209,706,1,fimbrial chaperone
CDS,none,GI:378698011,31274,32119,847,1,hypothetical protein
CDS,none,GI:378698012,32116,32445,331,1,hypothetical protein
CDS,none,GI:378698013,32545,32994,451,-1,hypothetical protein
CDS,none,GI:378698014,33364,34368,1006,1,putative transcriptional regulator (lysR family)
CDS,none,GI:378698015,34376,34816,442,-1,hypothetical protein
CDS,none,GI:378698016,35339,37057,1720,1,sulfatase
CDS,none,GI:378698017,37103,38674,1573,-1,putative secreted 5'-nucleotidase
CDS,none,GI:378698018,38773,39534,763,-1,hypothetical protein
CDS,none,GI:378698019,40131,41624,1495,1,putative secreted sulfatase
CDS,none,GI:378698020,41723,42913,1192,1,sulfatase regulatory protein
CDS,none,GI:378698021,42932,44185,1255,1,hypothetical protein
CDS,none,GI:378698022,44312,46027,1717,1,sulfatase
CDS,nhaA,GI:378698023,46190,47356,1168,1,Na(+)/H(+) antiporter 1
CDS,nhaR,GI:378698024,47418,48317,901,1,transcriptional activator protein NhaR
CDS,none,GI:378698025,48372,50411,2041,-1,putative glycosyl hydrolase
CDS,none,GI:378698026,50451,51824,1375,-1,putative transport protein
CDS,rpsT,GI:378698027,52280,52543,265,-1,30S ribosomal protein S20
CDS,none,GI:378698028,52649,52864,217,1,hypothetical protein
CDS,ribF,GI:378698029,52872,53810,940,1,riboflavin biosynthesis protein RibF
CDS,ileS,GI:378698030,53855,56689,2836,1,isoleucyl-tRNA synthetase
CDS,lspA,GI:378698031,56689,57189,502,1,lipoprotein signal peptidase
CDS,fkpB,GI:378698032,57344,57793,451,1,FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase
CDS,lytB,GI:378698033,57796,58746,952,1,LytB protein
CDS,none,GI:378698034,58946,60148,1204,1,hypothetical protein
CDS,yaaF,GI:378698035,60164,61084,922,1,putative nucleoside hydrolase (IUNH family)
CDS,citB,GI:378698036,61106,61792,688,-1,transcriptional regulatory protein citb
CDS,citA,GI:378698037,61794,63413,1621,-1,two-component sensor kinase
CDS,none,GI:378698038,63548,64849,1303,-1,oxaloacetate decarboxylase subunit beta
CDS,oadA2,GI:378698039,64862,66637,1777,-1,oxaloacetate decarboxylase subunit alpha
CDS,oadG,GI:378698040,66654,66893,241,-1,oxaloacetate decarboxylase subunit gamma
CDS,citC,GI:378698041,67052,68392,1342,-1,citrate-sodium symporter
CDS,citC2,GI:378698042,68637,69683,1048,1,[citrate (pro-3S)-lyase] ligase
CDS,citD2,GI:378698043,69713,70006,295,1,citrate lyase acyl carrier protein
CDS,citE2,GI:378698044,70003,70872,871,1,citrate lyase subunit beta
CDS,citF2,GI:378698045,70883,72403,1522,1,citrate lyase subunit alpha
CDS,citX2,GI:378698046,72403,72954,553,1,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
CDS,citG2,GI:378698047,72947,73840,895,1,triphosphoribosyl-dephospho-CoA synthase
CDS,dapB,GI:378698048,74020,74841,823,1,dihydrodipicolinate reductase
CDS,carA,GI:378698049,75883,77031,1150,1,carbamoyl-phosphate synthase small subunit
CDS,carB,GI:378698050,77050,80277,3229,1,carbamoyl-phosphate synthase large subunit
CDS,caiF,GI:378698051,80551,80946,397,1,transcriptional activator CaiF
CDS,caiE,GI:378698052,81023,81619,598,-1,carnitine operon protein CaiE
CDS,caiD,GI:378698053,81728,82513,787,-1,carnitine racemase
CDS,caiC,GI:378698054,82567,84120,1555,-1,crotonobetaine/carnitine-CoA ligase
CDS,caiA,GI:378698055,85512,86654,1144,-1,carnitine operon oxidoreductase CaiA
CDS,caiT,GI:378698056,86689,88206,1519,-1,carnitine transporter
CDS,fixA,GI:378698057,88687,89457,772,1,flavoprotein subunit
CDS,fixB,GI:378698058,89473,90414,943,1,flavoprotein subunit
CDS,fixC,GI:378698059,90464,91750,1288,1,flavoprotein subunit
CDS,fixX,GI:378698060,91747,92034,289,1,ferredoxin like protein FixX
CDS,yaaU,GI:378698061,92181,93521,1342,1,putative metabolite transport protein
CDS,none,GI:378698062,93610,93840,232,1,putative lipoprotein
CDS,none,GI:378698063,94134,94550,418,1,secreted protein
CDS,none,GI:378698064,94774,95064,292,-1,secreted protein
CDS,none,GI:378698065,95962,97851,1891,1,putative sulfatase
CDS,yabF,GI:378698066,98258,98788,532,1,putative NAD(P)H oxidoreductase
